nomination_id,year,award,name,is_winner,movie
1,1986,Best Film,,Winner,Voyage to Nowhere
2,1986,Best Film,,Nominated,27 Hours
3,1986,Best Film,,Nominated,Half of Heaven
4,1986,Best Director,Fernando Fernán Gómez,Winner, Voyage to Nowhere
5,1986,Best Director,Emilio Martínez Lázaro,Nominated, Lulu by Night
6,1986,Best Director,Pilar Miró,Nominated, Werther
7,1986,Best Actor,Fernando Fernán Gómez,Winner, Mambru Went to War
8,1986,Best Actor,Juan Diego,Nominated, Dragon rapide
9,1986,Best Actor,Jorge Sanz,Nominated, The Year of the Awakening
10,1986,Best Actress,Amparo Rivelles,Winner, Hay que deshacer la casa
11,1986,Best Actress,Victoria Abril,Nominated, Time of Silence
12,1986,Best Actress,Ángela Molina,Nominated, Half of Heaven
13,1986,Best Supporting Actor,Miguel Rellán,Winner, Dear Nanny
14,1986,Best Supporting Actor,Antonio Banderas,Nominated, Matador
15,1986,Best Supporting Actor,Agustín González,Nominated, Mambru Went to War
16,1986,Best Supporting Actress,Verónica Forqué,Winner, The Year of the Awakening
17,1986,Best Supporting Actress,Chus Lampreave,Nominated, The Year of the Awakening
18,1986,Best Supporting Actress,María Luisa Ponte,Nominated, The Bastard Brother of God
19,1986,Best Screenplay, Fernando Fernán Gómez,Winner,Voyage to Nowhere
20,1986,Best Screenplay, Pedro Beltrán,Nominated,Mambru Went to War
21,1986,Best Screenplay, José Luis Borau,Nominated,Dear Nanny
22,1986,Best Spanish Language Foreign Film,Argentina,Winner,A King and His Movie 
23,1986,Best Spanish Language Foreign Film,Venezuela,Nominated,Little Revenge 
24,1986,Best Spanish Language Foreign Film,Colombia,Nominated,A Time to Die 
25,1987,Best Film,,Winner,El bosque animado
26,1987,Best Film,,Nominated,Divinas palabras
27,1987,Best Film,,Nominated,El Lute: Run for Your Life
28,1987,Best Director,José Luis Garci,Winner, Course Completed
29,1987,Best Director,Vicente Aranda,Nominated, El Lute: Run for Your Life
30,1987,Best Director,Bigas Luna,Nominated, Anguish
31,1987,Best Actor,Alfredo Landa,Winner, El bosque animado
32,1987,Best Actor,Imanol Arias,Nominated, Lute: Run for Your Life
33,1987,Best Actor,José Manuel Cervino,Nominated, The war of fools
34,1987,Best Actress,Verónica Forqué,Winner, A Merry Life
35,1987,Best Actress,Victoria Abril,Nominated, Lute: Run for Your Life
36,1987,Best Actress,Irene Gutiérrez,Nominated, The House of Bernarda Alba
37,1987,Best Supporting Actor,Juan Echanove,Winner, Divinas palabras
38,1987,Best Supporting Actor,Agustín González,Nominated, Moors and Christians
39,1987,Best Supporting Actor,Pedro Ruiz,Nominated, Moors and Christians
40,1987,Best Supporting Actress,Verónica Forqué,Winner, Moors and Christians
41,1987,Best Supporting Actress,Marisa Paredes,Nominated, Silver-Beet Face
42,1987,Best Supporting Actress,Terele Pávez,Nominated, Laura
43,1987,Best Screenplay, Rafael Azcona,Winner,El bosque animado
44,1987,Best Screenplay, Manolo Matji,Nominated,The war of fools
45,1987,Best Screenplay, Rafael Azcona and Luis García Berlanga,Nominated,Moors and Christians
46,1987,Best Spanish Language Foreign Film,Mexico,Winner,Life Is Most Important 
47,1987,Best Spanish Language Foreign Film,Argentina,Nominated,Man Facing Southeast 
48,1987,Best Spanish Language Foreign Film,Cuba,Nominated,A Successful Man 
49,1988,Best Film,,Winner,Women on the Verge of a Nervous Breakdown
50,1988,Best Film,,Nominated,Rowing with the Wind
51,1988,Best Film,,Nominated,The Tunnel
52,1988,Best Film,,Nominated,Wait for Me in Heaven
53,1988,Best Film,,Nominated,Winter Diary
54,1988,Best Director,Gonzalo Suárez,Winner, Rowing with the Wind
55,1988,Best Director,Pedro Almodóvar,Nominated, Women on the Verge of a Nervous Breakdown
56,1988,Best Director,Ricardo Franco,Nominated, Berlin Blues
57,1988,Best Director,Antonio Mercero,Nominated, Wait for Me in Heaven
58,1988,Best Director,Francisco Regueiro,Nominated, Winter Diary
59,1988,Best Actor,Fernando Rey,Winner, Winter Diary
60,1988,Best Actor,Imanol Arias,Nominated, El Lute II: Tomorrow I'll be Free
61,1988,Best Actor,Antonio Ferrandis,Nominated, Jarrapellejos
62,1988,Best Actor,Alfredo Landa,Nominated, Sinatra
63,1988,Best Actor,José Soriano,Nominated, Wait for Me in Heaven
64,1988,Best Actress,Carmen Maura,Winner, Women on the Verge of a Nervous Breakdown
65,1988,Best Actress,Victoria Abril,Nominated, Bâton Rouge
